review_decision,issue_types,name,period,current_page_birthday,current_page_month_day,current_page_debut,current_page_join_year,current_page_join_days,existing_check,existing_page_birthday,existing_reference_birthday,existing_reference_source,existing_reference_page,existing_reference_url,official_sid,official_period,official_month_day,source_urls,notes
,existing_unreviewed_mismatch,周雨涵,CKG48九期生,2007-08-20,08.20,2025-12-31,18,133,,2007-08-20,2007-08-02,AKB48 Wiki,,https://akb48.fandom.com/wiki/Zhou_YuHan,,,,https://akb48.fandom.com/wiki/Zhou_YuHan,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,陈韵佳,CKG48六期生,1999-12-12,12.12,2023-06-02,23,172,,1999-12-12,2000-12-22,AKB48 Wiki,,https://akb48.fandom.com/wiki/Chen_YunJia,,,,https://akb48.fandom.com/wiki/Chen_YunJia,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,刘星雨,CKG48六期生,2003-09-06,09.06,2023-06-02,19,269,,2003-09-06,2002-09-06,AKB48 Wiki,,https://akb48.fandom.com/wiki/Liu_XingYu,,,,https://akb48.fandom.com/wiki/Liu_XingYu,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,余芸萱,CKG48四期生,2000-09-04,09.04,2020-06-27,19,297,,2000-09-04,2002-02-08,AKB48 Wiki,,https://akb48.fandom.com/wiki/Yu_YunXuan,,,,https://akb48.fandom.com/wiki/Yu_YunXuan,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,江雨航,GNZ48九期生,1998-06-06,06.06,2021-01-01,22,209,,1998-06-06,2000-06-06,AKB48 Wiki,,https://akb48.fandom.com/wiki/Jiang_YuHang,,,,https://akb48.fandom.com/wiki/Jiang_YuHang,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,李家敏,GNZ48十九期生,2006-01-04,01.04,2025-10-08,19,277,,2006-01-04,2007-01-04,AKB48 Wiki,,https://akb48.fandom.com/wiki/Li_JiaMin,,,,https://akb48.fandom.com/wiki/Li_JiaMin,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,孔渊,GNZ48十六期生,2004-07-14,07.14,2024-05-17,19,308,,2004-07-14,2004-04-17,AKB48 Wiki,,https://akb48.fandom.com/wiki/Kong_Yuan,,,,https://akb48.fandom.com/wiki/Kong_Yuan,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,赵翊民,GNZ48一期生,1997-08-18,08.18,2016-10-23,19,66,,1997-08-18,1999-08-18,AKB48 Wiki,,https://akb48.fandom.com/wiki/Zhao_YiMin,,,,https://akb48.fandom.com/wiki/Zhao_YiMin,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,王菲妍,SHY48二期生,1999-01-27,01.27,2017-04-29,18,92,,1999-01-27,2000-01-27,AKB48 Wiki,,https://akb48.fandom.com/wiki/Wang_FeiYan,,,,https://akb48.fandom.com/wiki/Wang_FeiYan,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,成珏,SNH48六期生,1997-01-03,01.03,2016-01-18,19,15,,1997-01-03,1996-01-03,AKB48 Wiki,,https://akb48.fandom.com/wiki/Cheng_Jue,,,,https://akb48.fandom.com/wiki/Cheng_Jue,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,冯思佳,SNH48六期生,1999-01-03,01.03,2016-01-18,17,15,,1999-01-03,1998-01-03,AKB48 Wiki,,https://akb48.fandom.com/wiki/Feng_SiJia,,,,https://akb48.fandom.com/wiki/Feng_SiJia,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,黄彤扬,SNH48六期生,1998-01-28,01.28,2016-01-18,17,355,,1998-01-28,1996-01-28,AKB48 Wiki,,https://akb48.fandom.com/wiki/Huang_TongYang,,,,https://akb48.fandom.com/wiki/Huang_TongYang,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,钱艺,SNH48六期生,1998-06-07,06.07,2016-01-18,17,225,,1998-06-07,1999-06-07,AKB48 Wiki,,https://akb48.fandom.com/wiki/Qian_Yi,,,,https://akb48.fandom.com/wiki/Qian_Yi,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,刘瀛,SNH48七期生,1998-02-08,02.08,2016-09-15,18,219,,1998-02-08,1999-02-08,AKB48 Wiki,,https://akb48.fandom.com/wiki/Liu_Ying,,,,https://akb48.fandom.com/wiki/Liu_Ying,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,李星彦,SNH48十四期生,2000-03-29,03.29,2020-10-02,20,187,,2000-03-29,2001-03-29,AKB48 Wiki,,https://akb48.fandom.com/wiki/Li_XingYan,,,,https://akb48.fandom.com/wiki/Li_XingYan,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,高源婧,SNH48五期生,1999-07-06,07.06,2015-07-25,16,19,,1999-07-06,1997-07-06,AKB48 Wiki,,https://akb48.fandom.com/wiki/Gao_YuanJing,,,,https://akb48.fandom.com/wiki/Gao_YuanJing,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,蒋羽熙,SNH48一期生,1996-02-18,02.18,2012-10-14,16,239,,1996-02-18,2000-02-18,AKB48 Wiki,,https://akb48.fandom.com/wiki/Jiang_YuXi,,,,https://akb48.fandom.com/wiki/Jiang_YuXi,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,李芸熙,TSH48七期生,2006-05-30,05.30,2025-01-21,18,236,,2006-05-30,2006-05-13,AKB48 Wiki,,https://akb48.fandom.com/wiki/Li_YunXi,,,,https://akb48.fandom.com/wiki/Li_YunXi,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch; official_month_day_conflict,易思桐,CGT48四期生,2008-01-19,01.19,2025-05-02,17,104,,2008-01-19,2004-01-09,AKB48 Wiki,,https://akb48.fandom.com/wiki/Yi_SiTong,,,01.09,https://akb48.fandom.com/wiki/Yi_SiTong,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch; official_month_day_conflict,雷相菊,CGT48一期生,2002-05-08,05.08,2023-06-02,21,25,,2002-05-08,2003-10-01,AKB48 Wiki,,https://akb48.fandom.com/wiki/Lei_XiangJu,,,10.01,https://akb48.fandom.com/wiki/Lei_XiangJu,insufficient_explicit_birthday_evidence
,official_conflict_after_confirmed,林恩同,GNZ48十一期生,2006-06-03,06.03,2021-12-25,15,205,,2006-06-03,2006-06-03,AKB48 Wiki,,https://akb48.fandom.com/wiki/Lin_EnTong,,,06.30,https://akb48.fandom.com/wiki/Lin_EnTong,insufficient_explicit_birthday_evidence
,official_month_day_conflict,徐钰清,CGT48二期生,2004-06-04,06.04,2023-12-15,19,194,,2004-06-04,,,,,,,07.23,,insufficient_explicit_birthday_evidence
,official_month_day_conflict,何渝欣,CGT48一期生,2003-09-01,09.01,2023-06-02,19,274,,2003-09-01,,,,,,,09.10,,insufficient_explicit_birthday_evidence
,official_month_day_conflict,黄孟浠,CKG48九期生,2004-01-03,01.03,2025-06-02,21,151,,2004-01-03,,,,,,,01.30,,insufficient_explicit_birthday_evidence
,official_month_day_conflict,余茜果,CKG48九期生,2008-01-11,01.11,2025-12-31,17,355,,2008-01-11,,,,,,,01.01,,insufficient_explicit_birthday_evidence
,official_month_day_conflict,黄艺暄,GNZ48十三期生,2006-11-10,11.10,2022-10-02,15,326,,2006-11-10,,,,,,,11.01,,insufficient_explicit_birthday_evidence
,same_name_official_period_mismatch,李娜,BEJ48一期生,1996-05-01,05.01,2016-07-16,20,76,,1996-05-01,,,,,,,20078:09.22,,insufficient_explicit_birthday_evidence
,same_name_official_period_mismatch,林海盈,CGT48一期生,2001-01-15,01.15,2023-06-02,22,138,,2001-01-15,,,,,,,60022:01.16,,insufficient_explicit_birthday_evidence
no_update,same_name_official_period_mismatch,陈佳莹,GNZ48二期生,2002-08-16,08.16,2017-04-29,14,256,,2002-08-16,,,,,,,10020:07.12,,reviewed_no_update_by_user
,same_name_official_period_mismatch,孟玥,SNH48二期生,1994-06-13,06.13,2013-08-18,19,66,,1994-06-13,,,,,,,70037:03.11,,insufficient_explicit_birthday_evidence
no_update,same_name_official_period_mismatch,陈嘉仪,TPE48五期生,2004-12-25,12.25,2024-08-17,19,236,,2004-12-25,,,,,,,10344:01.10,,reviewed_no_update_by_user
no_update,same_name_official_period_mismatch,陈琳,TPE48一期生,2006-01-03,01.03,2018-02-04,12,32,,2006-01-03,,,,,,,10081:07.23,,reviewed_no_update_by_user
